Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
3,Expansion+Mat80+Mat100,Hybrid+Mat100,1,63,17.582,13.514
4,Hybrid+Mat100,Expansion+Mat80+Mat100,1,200,25.480,6.855
5,Expansion+Mat80+Mat100,Hybrid+Mat100,1,63,17.510,13.518
6,Hybrid+Mat100,Expansion+Mat80+Mat100,1,200,25.721,6.850
7,Expansion+Mat80+Mat100,Hybrid+Mat100,1,63,18.186,14.016
8,Hybrid+Mat100,Expansion+Mat80+Mat100,1,200,25.434,6.792
9,Expansion+Mat80+Mat100,Hybrid+Mat100,1,63,17.938,13.712
10,Hybrid+Mat100,Expansion+Mat80+Mat100,1,200,25.594,6.790
1,Expansion+Mat80+Mat100,Material+Mat100,1,200,29.144,2.874
2,Material+Mat100,Expansion+Mat80+Mat100,1,200,8.811,3.753
3,Expansion+Mat80+Mat100,Material+Mat100,1,200,29.182,2.877
4,Material+Mat100,Expansion+Mat80+Mat100,1,200,8.442,3.539
5,Expansion+Mat80+Mat100,Material+Mat100,1,200,29.109,2.998
6,Material+Mat100,Expansion+Mat80+Mat100,1,200,8.660,3.659
7,Expansion+Mat80+Mat100,Material+Mat100,1,200,28.773,2.851
8,Material+Mat100,Expansion+Mat80+Mat100,1,200,8.681,3.743
9,Expansion+Mat80+Mat100,Material+Mat100,1,200,28.911,2.868
10,Material+Mat100,Expansion+Mat80+Mat100,1,200,8.574,3.555
1,Hybrid+Mat100,Material+Mat100,2,60,14.768,9.515
2,Material+Mat100,Hybrid+Mat100,1,200,5.216,6.932
3,Hybrid+Mat100,Material+Mat100,2,60,14.636,9.439
4,Material+Mat100,Hybrid+Mat100,1,200,5.224,6.900
5,Hybrid+Mat100,Material+Mat100,2,60,14.555,9.616
6,Material+Mat100,Hybrid+Mat100,1,200,5.210,6.928
7,Hybrid+Mat100,Material+Mat100,2,60,14.456,9.497
8,Material+Mat100,Hybrid+Mat100,1,200,5.245,6.944
9,Hybrid+Mat100,Material+Mat100,2,60,14.290,9.345
10,Material+Mat100,Hybrid+Mat100,1,200,5.381,6.939
